Type,OID,OID (bin),POS (BIN),POS,Diff
O,4970,0001001101101010,0000000100101011,299,4671
O,4971,0001001101101011,0000000100101100,300,4671
O,4972,0001001101101100,0000000100101101,301,4671
O,4973,0001001101101101,0000000100101110,302,4671
O,4974,0001001101101110,0000000100101111,303,4671
O,4975,0001001101101111,0000000100110000,304,4671
O,4976,0001001101110000,0000000100110001,305,4671
O,4977,0001001101110001,0000000100110010,306,4671
O,4978,0001001101110010,0000000100110011,307,4671
O,4979,0001001101110011,0000000100110100,308,4671
O,4980,0001001101110100,0000000100110101,309,4671
O,4981,0001001101110101,0000000100110110,310,4671
O,4982,0001001101110110,0000000100110111,311,4671
O,4983,0001001101110111,0000000100111000,312,4671
O,4984,0001001101111000,0000000100111001,313,4671
O,4985,0001001101111001,0000000100111010,314,4671
O,4986,0001001101111010,0000000100111011,315,4671
O,4987,0001001101111011,0000000100111100,316,4671
O,4988,0001001101111100,0000000100111101,317,4671
O,4989,0001001101111101,0000000100111110,318,4671
O,4990,0001001101111110,0000000100111111,319,4671
M,45,0000000000101101,0000000101000000,320,-275
M,46,0000000000101110,0000000101000001,321,-275
O,4991,0001001101111111,0000000101000010,322,4669
M,47,0000000000101111,0000000101000011,323,-276
O,4992,0001001110000000,0000000101000100,324,4668
O,4993,0001001110000001,0000000101000101,325,4668
O,4994,0001001110000010,0000000101000110,326,4668
O,4995,0001001110000011,0000000101000111,327,4668
O,4996,0001001110000100,0000000101001000,328,4668
O,4997,0001001110000101,0000000101001001,329,4668
O,4998,0001001110000110,0000000101001010,330,4668
O,4999,0001001110000111,0000000101001011,331,4668
O,5000,0001001110001000,0000000101001100,332,4668
O,5001,0001001110001001,0000000101001101,333,4668
O,5002,0001001110001010,0000000101001110,334,4668
O,5003,0001001110001011,0000000101001111,335,4668
M,48,0000000000110000,0000000101010000,336,-288
M,49,0000000000110001,0000000101010001,337,-288
O,5004,0001001110001100,0000000101010010,338,4666
M,50,0000000000110010,0000000101010011,339,-289
O,5005,0001001110001101,0000000101010100,340,4665
O,5006,0001001110001110,0000000101010101,341,4665
O,5007,0001001110001111,0000000101010110,342,4665
O,5008,0001001110010000,0000000101010111,343,4665
O,5009,0001001110010001,0000000101011000,344,4665
O,5010,0001001110010010,0000000101011001,345,4665
O,5011,0001001110010011,0000000101011010,346,4665
O,5012,0001001110010100,0000000101011011,347,4665
O,5013,0001001110010101,0000000101011100,348,4665
O,5014,0001001110010110,0000000101011101,349,4665
O,5015,0001001110010111,0000000101011110,350,4665
O,5016,0001001110011000,0000000101011111,351,4665
O,5017,0001001110011001,0000000101100000,352,4665
O,5018,0001001110011010,0000000101100001,353,4665
O,5019,0001001110011011,0000000101100010,354,4665
O,5020,0001001110011100,0000000101100011,355,4665
O,5021,0001001110011101,0000000101100100,356,4665
O,5022,0001001110011110,0000000101100101,357,4665
O,5023,0001001110011111,0000000101100110,358,4665
O,5024,0001001110100000,0000000101100111,359,4665
O,5025,0001001110100001,0000000101101000,360,4665
O,5026,0001001110100010,0000000101101001,361,4665
O,5027,0001001110100011,0000000101101010,362,4665
O,5028,0001001110100100,0000000101101011,363,4665
O,5029,0001001110100101,0000000101101100,364,4665
O,5030,0001001110100110,0000000101101101,365,4665
O,5031,0001001110100111,0000000101101110,366,4665
O,5032,0001001110101000,0000000101101111,367,4665
O,5033,0001001110101001,0000000101110000,368,4665
O,5034,0001001110101010,0000000101110001,369,4665
O,5035,0001001110101011,0000000101110010,370,4665
O,5036,0001001110101100,0000000101110011,371,4665
O,5037,0001001110101101,0000000101110100,372,4665
O,5038,0001001110101110,0000000101110101,373,4665
